epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,3910.03,0.95323,0.70555,1.29914,0.97965,0.99179,0.9943,0.82665,0.69343,0.30152,1.00889,0.0001552,0.0001552,0.0001552
130,3953.52,0.9511,0.69847,1.29612,0.97862,0.98896,0.99406,0.82695,0.67507,0.30278,1.00835,0.0001486,0.0001486,0.0001486
131,3997.47,0.92376,0.69145,1.28918,0.98388,0.99084,0.99472,0.83366,0.67246,0.30239,1.00433,0.000142,0.000142,0.000142
132,4041.41,0.93493,0.69036,1.29365,0.98548,0.98505,0.99442,0.8315,0.69023,0.30215,1.01451,0.0001354,0.0001354,0.0001354
133,4084.93,0.94462,0.69972,1.2972,0.98182,0.99255,0.99438,0.83187,0.69314,0.29615,1.00925,0.0001288,0.0001288,0.0001288
134,4128.92,0.96088,0.69734,1.32331,0.97956,0.98997,0.99411,0.83642,0.66556,0.29353,1.00426,0.0001222,0.0001222,0.0001222
135,4173.9,0.9222,0.68899,1.28802,0.97736,0.9964,0.99313,0.83598,0.67742,0.28848,1.00367,0.0001156,0.0001156,0.0001156
136,4218.4,0.81186,0.39839,1.19634,0.97651,0.99341,0.9946,0.82828,0.68663,0.29526,1.00761,0.000109,0.000109,0.000109
137,4262.49,0.8284,0.41002,1.19744,0.97637,0.99168,0.9911,0.82437,0.6681,0.29173,0.99639,0.0001024,0.0001024,0.0001024
138,4305.89,0.79744,0.38654,1.17635,0.98159,0.98826,0.99391,0.82988,0.67231,0.29003,0.99746,9.58e-05,9.58e-05,9.58e-05
139,4349.56,0.78937,0.38995,1.19178,0.9774,0.98541,0.99457,0.83219,0.67969,0.29399,1.00301,8.92e-05,8.92e-05,8.92e-05
140,4392.94,0.79198,0.39174,1.18225,0.97729,0.98539,0.99112,0.83349,0.6692,0.29539,0.99848,8.26e-05,8.26e-05,8.26e-05
141,4436.5,0.78223,0.38122,1.18135,0.98361,0.98731,0.99475,0.84004,0.66555,0.28919,0.99749,7.6e-05,7.6e-05,7.6e-05
142,4481.82,0.79174,0.38874,1.18642,0.98028,0.98985,0.99428,0.83464,0.68737,0.29148,1.00276,6.94e-05,6.94e-05,6.94e-05
143,4525.47,0.78389,0.37626,1.17606,0.98355,0.98477,0.9945,0.8346,0.68157,0.29207,1.00101,6.28e-05,6.28e-05,6.28e-05
144,4569.31,0.76807,0.37016,1.17231,0.98578,0.9876,0.99443,0.83615,0.66111,0.29057,0.99565,5.62e-05,5.62e-05,5.62e-05
145,4613.2,0.80055,0.37155,1.19137,0.98468,0.98617,0.99377,0.83702,0.667,0.291,0.99534,4.96e-05,4.96e-05,4.96e-05
146,4656.98,0.80245,0.38615,1.19106,0.98646,0.98731,0.9911,0.83653,0.66551,0.29185,0.99429,4.3e-05,4.3e-05,4.3e-05
147,4701.18,0.76985,0.3717,1.17368,0.9835,0.98731,0.99194,0.83385,0.66641,0.29267,0.99414,3.64e-05,3.64e-05,3.64e-05
148,4744.61,0.7758,0.3773,1.18384,0.98279,0.98477,0.99114,0.83534,0.66017,0.29327,0.99307,2.98e-05,2.98e-05,2.98e-05
149,4788.76,0.77458,0.37659,1.17845,0.98384,0.98591,0.99197,0.83687,0.66515,0.29365,0.99608,2.32e-05,2.32e-05,2.32e-05
150,4832.59,0.77384,0.3697,1.16601,0.98494,0.98592,0.99293,0.84002,0.6646,0.29226,0.99525,1.66e-05,1.66e-05,1.66e-05
